district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm
Adilabad,Ichoda,2025-05-06,0.5,40.7,57.1,2025-05
Adilabad,Ichoda,2025-11-06,15.9,60.5,90.3,2025-11
Adilabad,Ichoda,2025-10-06,60.3,53.7,90.4,2025-10
Adilabad,Ichoda,2025-09-06,6.3,33.5,80.3,2025-09
Adilabad,Ichoda,2025-06-13,12.8,60.5,93.0,2025-06
Adilabad,Ichoda,2025-06-14,0.0,58.6,88.9,2025-06
Adilabad,Ichoda,2025-06-15,0.0,52.7,84.2,2025-06
Adilabad,Ichoda,2025-06-16,0.0,58.6,79.8,2025-06
Adilabad,Ichoda,2025-06-17,11.0,60.5,92.1,2025-06
Adilabad,Ichoda,2025-06-18,0.5,49.5,80.3,2025-06
Adilabad,Ichoda,2025-06-19,1.6,57.6,85.1,2025-06
Adilabad,Ichoda,2025-06-20,10.2,65.3,90.7,2025-06
Adilabad,Ichoda,2025-06-21,0.0,51.3,77.2,2025-06
Adilabad,Ichoda,2025-06-22,37.1,52.7,93.9,2025-06
Adilabad,Ichoda,2025-06-23,1.0,56.7,83.9,2025-06
Adilabad,Ichoda,2025-06-24,3.2,60.0,92.1,2025-06
Adilabad,Ichoda,2025-06-25,7.0,66.3,93.4,2025-06
Adilabad,Ichoda,2025-06-26,117.7,69.4,94.9,2025-06
Adilabad,Ichoda,2025-06-27,1.7,77.4,93.9,2025-06
Adilabad,Ichoda,2025-06-28,11.4,68.1,89.8,2025-06
Adilabad,Ichoda,2025-06-29,0.0,58.6,84.8,2025-06
Adilabad,Ichoda,2025-06-30,9.6,72.0,93.0,2025-06
Adilabad,Inderavelly,2025-04-06,0.0,41.2,85.2,2025-04
Adilabad,Inderavelly,2025-08-06,0.0,38.2,73.7,2025-08
Adilabad,Inderavelly,2025-12-06,0.0,63.5,99.8,2025-12
Adilabad,Inderavelly,2025-02-06,0.0,40.0,77.1,2025-02
Adilabad,Inderavelly,2025-01-06,0.0,51.3,79.5,2025-01
Adilabad,Inderavelly,2025-07-06,0.0,35.2,74.7,2025-07
Adilabad,Inderavelly,2025-06-06,0.0,47.3,80.8,2025-06
Adilabad,Inderavelly,2025-03-06,0.0,48.9,82.5,2025-03
Adilabad,Inderavelly,2025-05-06,0.0,37.9,74.7,2025-05
Adilabad,Inderavelly,2025-11-06,5.7,63.5,97.8,2025-11
Adilabad,Inderavelly,2025-10-06,29.7,54.4,99.4,2025-10
Adilabad,Inderavelly,2025-09-06,0.0,36.4,82.5,2025-09
Adilabad,Inderavelly,2025-06-13,38.9,68.7,100.0,2025-06
Adilabad,Inderavelly,2025-06-14,0.0,67.7,100.0,2025-06
Adilabad,Inderavelly,2025-06-15,0.0,54.4,93.8,2025-06
Adilabad,Inderavelly,2025-06-16,0.0,65.5,94.0,2025-06
Adilabad,Inderavelly,2025-06-17,7.2,67.1,100.0,2025-06
Adilabad,Inderavelly,2025-06-18,0.0,55.0,86.7,2025-06
Adilabad,Inderavelly,2025-06-19,1.7,61.9,92.9,2025-06
Adilabad,Inderavelly,2025-06-20,6.3,71.0,99.4,2025-06
Adilabad,Inderavelly,2025-06-21,0.0,55.0,86.0,2025-06
Adilabad,Inderavelly,2025-06-22,20.6,56.6,100.0,2025-06
Adilabad,Inderavelly,2025-06-23,3.9,60.4,98.4,2025-06
